id_invoice,issuedDate,country,service,total,discount,tax,invoiceStatus,balance,dueDate,client
67,10-07-2023,Cuba,AI Solution,8685.46,48.85,593.26,Paid,9229.87,03-08-2023,Company B
57,05-10-2022,Uruguay,Mobile App Development,3196.11,437.68,131.34,Pending,2889.77,19-10-2022,Company A
79,01-08-2022,Liberia,UI/UX Design,294.28,48.23,7.74,Overdue,253.79,09-08-2022,Company D
96,30-11-2022,Mongolia,Mobile App Development,2720.38,469.24,164.15,Overdue,2415.29,16-12-2022,Company D
87,16-03-2023,Cyprus,E-commerce Development,2202.77,410.17,214.34,Pending,2006.94,04-04-2023,Company D
94,10-02-2023,New Caledonia,E-commerce Development,2700.06,153.57,31.26,Paid,2577.75,18-02-2023,Company B
67,07-05-2023,Montenegro,AI Solution,4154.94,298.87,177.2,Overdue,4033.27,30-05-2023,Company C
88,20-02-2023,Kiribati,Web Development,845.23,35.66,34.76,Paid,844.33,06-03-2023,Company C
26,28-08-2022,Chile,AI Solution,5853.75,737.08,104.72,Overdue,5221.39,10-09-2022,Company A
40,23-04-2023,Anguilla,E-commerce Development,1546.54,280.52,134.35,Overdue,1400.37,14-05-2023,Company C
7,14-04-2023,Ghana,UI/UX Design,913.97,42.73,37.57,Pending,908.81,28-04-2023,Company B
90,14-03-2023,Luxembourg,E-commerce Development,1969,80.87,36.8,Pending,1924.93,22-03-2023,Company A
65,10-12-2022,Australia,E-commerce Development,2423.13,200.24,206.2,Pending,2429.09,20-12-2022,Company E
51,26-03-2023,Lesotho,Mobile App Development,4553.6,710.85,9.05,Overdue,3851.8,24-04-2023,Company D
89,16-09-2022,Mexico,UI/UX Design,307.41,22.26,25.9,Paid,311.05,10-10-2022,Company D
91,03-05-2023,Mali,AI Solution,8635.25,219.36,525.61,Pending,8941.5,20-05-2023,Company B
71,23-02-2023,Australia,UI/UX Design,693.52,63.49,35.51,Pending,665.54,21-03-2023,Company A
34,04-07-2023,Germany,AI Solution,5778.87,930.34,494.39,Pending,5342.92,25-07-2023,Company A
29,02-11-2022,Bangladesh,Mobile App Development,4828.61,410.12,71.13,Paid,4489.62,01-12-2022,Company E
27,02-06-2023,Paraguay,E-commerce Development,1236.46,88.74,116.67,Overdue,1264.39,15-06-2023,Company C
80,30-06-2023,Western Sahara,Web Development,2488.66,11.02,125.17,Pending,2602.81,25-07-2023,Company B
90,24-12-2022,Uzbekistan,E-commerce Development,1590.43,314.16,135.99,Overdue,1412.26,02-01-2023,Company E
17,15-01-2023,Denmark,IoT Solution,6149.65,198.59,109.14,Overdue,6060.2,05-02-2023,Company D
43,06-07-2023,Romania,Mobile App Development,4754.76,779.58,442.87,Overdue,4418.05,30-07-2023,Company B
93,27-06-2023,Netherlands Antilles,E-commerce Development,4925.31,417.12,295.49,Pending,4803.68,16-07-2023,Company C
24,22-06-2023,Nigeria,Web Development,2391.33,98.66,176.33,Overdue,2469,09-07-2023,Company D
63,08-02-2023,El Salvador,UI/UX Design,778.38,105.51,62.7,Pending,735.57,03-03-2023,Company D
2,20-01-2023,Belgium,UI/UX Design,483.82,92.41,31.32,Paid,422.73,15-02-2023,Company A
78,15-07-2022,Kiribati,Mobile App Development,3953.41,336.2,198.89,Pending,3816.1,08-08-2022,Company D
64,26-09-2022,Pakistan,UI/UX Design,543.7,41.04,22.01,Paid,524.67,07-10-2022,Company D
96,20-10-2022,Cyprus,Web Development,1343.17,18.74,57.47,Overdue,1381.9,13-11-2022,Company C
97,09-01-2023,Barbados,E-commerce Development,1064.18,103.3,33.12,Overdue,994,26-01-2023,Company D
52,20-04-2023,Solomon Islands,AI Solution,4452.6,544.53,16.38,Pending,3924.45,07-05-2023,Company E
4,04-07-2023,Nicaragua,Mobile App Development,2442.98,63.7,28.61,Paid,2407.89,12-07-2023,Company A
23,06-08-2022,Swaziland,E-commerce Development,1793.37,47.74,144.27,Pending,1889.9,30-08-2022,Company B
10,30-05-2023,Jersey,AI Solution,8159.65,58.91,58.59,Overdue,8159.33,12-06-2023,Company B
87,11-02-2023,Bahamas,IoT Solution,7031.35,981.19,189.2,Overdue,6239.36,28-02-2023,Company E
68,09-02-2023,Benin,E-commerce Development,3359.14,145.54,23.47,Overdue,3237.07,01-03-2023,Company B
10,23-12-2022,Guinea-Bissau,Web Development,2916.68,562.83,115.42,Paid,2469.27,21-01-2023,Company C
94,22-07-2022,San Marino,IoT Solution,3646.13,450.64,203.42,Pending,3398.91,03-08-2022,Company B
4,17-11-2022,Ecuador,IoT Solution,6644.09,748.21,518.42,Overdue,6414.3,09-12-2022,Company B
46,29-08-2022,Holy See (Vatican City State),Web Development,1810.78,181.63,160.45,Overdue,1789.6,18-09-2022,Company C
91,06-07-2023,Bangladesh,IoT Solution,7919.06,659.93,0.43,Pending,7259.56,17-07-2023,Company B
24,24-04-2023,Heard Island and McDonald Islands,AI Solution,5060.75,499.96,44.11,Overdue,4604.9,09-05-2023,Company C
9,10-12-2022,Gambia,AI Solution,4709.49,69.11,359.81,Overdue,5000.19,02-01-2023,Company E
85,10-07-2023,Nepal,IoT Solution,5792.69,877.32,417.89,Pending,5333.26,05-08-2023,Company C
2,28-02-2023,Slovenia,Mobile App Development,1121.55,200.88,9.39,Paid,930.06,17-03-2023,Company B
95,15-04-2023,Greece,IoT Solution,7320.68,947.72,124.94,Overdue,6497.9,11-05-2023,Company C
46,07-04-2023,Latvia,IoT Solution,7411.28,1297.78,733.04,Overdue,6846.54,14-04-2023,Company C
40,21-09-2022,Saint Kitts and Nevis,Web Development,1762.39,38.37,73.91,Overdue,1797.93,02-10-2022,Company D
37,28-03-2023,Cambodia,Web Development,2149.06,301.7,146.32,Pending,1993.68,20-04-2023,Company C
49,25-12-2022,Morocco,E-commerce Development,2200.33,123.07,187.67,Paid,2264.93,08-01-2023,Company B
93,05-06-2023,New Caledonia,Web Development,1991.62,299.44,70.09,Pending,1762.27,29-06-2023,Company C
31,02-02-2023,Germany,Mobile App Development,1910.11,305.07,36.68,Paid,1641.72,25-02-2023,Company A
46,16-05-2023,Singapore,Web Development,1155.04,90.33,24.12,Paid,1088.83,31-05-2023,Company A
58,07-12-2022,Gabon,UI/UX Design,502.57,15.5,38.32,Pending,525.39,29-12-2022,Company B
